Date,Username,Comment,Like
2025-10-20T11:44:08Z,@sandhikagalihWPU,saat ini belum ada,0
2025-10-18T23:58:57Z,@syamsularifin9776,"Lalu harus nya bagaimana bang?... Kan sekarang informasi super cepat, bahkan kita yang pemula sendiri pasti bingung harus dari mana dan juga pasti iri sama yang udah profesional bang, makanya terkadang pengen cepet 😢 dilema banget sih apalagi tuntutan PT PT sekarang super super berat sih, jadi kita kek gak paham harus mulai dari mana dan takut tertinggal karena kelamaan belajar 😢",0
2025-10-18T15:21:54Z,@Galerigis,"I see. saya kecanduan vibe coding nih. Bisa buat sesuatu yang mind blowing. Kodingan AI nya susah di maintain dan saya sering gak paham apa yang di tulis.<br><br>terkadang, saya juga cari sendiri bugs yang sudah di buat oleh AI nya.<br><br>saya liat dari sisi lain, pekerjaan akan selesai dengan waktu yang lebih cepat. Kode nya bisa di pelajari belakangan",0
2025-10-18T12:59:19Z,@farrelhs6727,"saya dulu awal2 kenal code ehh ada AI nihh canggih bisa beresin code dengan mudah, tp itu masih di tahap belajar algoritma, db, html, css dll. nahh ketika ada project iseng deh nyoba AI nya, ehh ketagihan, dan saya pernah di posisi yg bener2 ngga tau kode yg dikasih AI ternyata berantakan bangett krn ngga tau dan pikiran saya pada waktu itu yg penting projek sekolah jadi. tapi krn dulu saya punya teman yg bisa menggunakan AI tsb dengan bijak, malah dijadikan guru untuk coding dll, akhirnya saya juga mulai belajar juga lewat AI tsb dan alhamdulillah diujung kelulusan saya dengan projek terakhir, ketika saya minta kode dari AI selalu saya koreksi terlebih dahulu, sesuaikan dlu dengan kebutuhan aplikasi. dan sekarang Ai tsb malah saya pake buat ngerancang, brainstorming, cari ide website yg menarik dll. btw saya juga belajar html dan css lewat channelnya pak sandika jugaaa 😁",2
2025-10-28T04:16:22Z,@muhammadakna8397,udah bisa bankai nih keknya wkwkwk,0
2025-10-18T11:17:16Z,@EverythingHilal,saran sih scroll fesbuk aja drpd vibe coding,0
2025-10-18T11:09:19Z,@bagas7347,"pak bisa berikan saran ke saya pak,sayaa saat ini adalah maba baru teknik informatika namun saya merasa struggle dan stuck karena saya merasa saya tidak bisa berkembang,yaa alasannya gara&quot; AI ini,saya seakan kecanduan menggunakan AI bahkan untuk tugas&quot; yang receh,apakah ada saran pak bagaimana saya bisa merubah diri saya dalam pemanfaatan AI ini dan juga saya harus bagaimana kedepannya😊😊",0
2025-10-19T11:44:10Z,@wxnbeats,"&quot;maba baru&quot; apa itu, yang ytta aja wak, ya tinggal pahami yg diajari dan yg dipelajari di kampus, pakai otak sendiri untuk problem solving, kalau bingung tanya aja ke dosen, bukan ke AI, tanamkan pikiran kalau seandainya masuk dunia kerja, terus disuruh coding lansung tanpa AI / offline blind code, ntar bingung sendiri jadinya. Kuliah itu stage tutorial utk msk dunia kerja, selama dosen di kampus tdk mengajarkan utk pakai AI, jangan dipakai. Pakai AI kalau sudah Lumayan Pro di bidang ini, sehingga jatuhnya AI itu jadi tools utk time saving, bukan cheat sheet semata",0
2025-10-17T13:55:50Z,@rachmatadijayaabulfatihilh1203,"Subjet nih yg selama nih masih nempel di pikiran gw, dan Alhamdulillah sdh terjawab dengan video ini",1
2025-10-17T10:54:34Z,@ferdych5250,"mau ga mau, jaman sudah mengarah ke sana, termasuk hostinger juga sdh menyediakan horizon ai...",0
2025-10-17T10:50:30Z,@Djoonta,"vibe coding sangat membantu buat saya yang sudah kepala 4. sudah males ngetik.. yang penting jangan one shot, kalau oneshot banyak ngawurnya 😅",0
2025-10-17T10:36:50Z,@coreptedreply,"permisi,saya masih junior di dunia pengcodingan saya mau bertanya susah senang nya menjadi progremer.<br>boleh tidak para kakak sekalian",0
2025-10-17T10:11:14Z,@prodigykitten6266,Kasihan kalian wahai programmer pemula ..<br><br>Godaan vibe coding itu besar banget -- tetap cumungudh belajarnya!,0
